Date,Gold_Price
11/9/2020,4579.2 INR
10/9/2020,4586.4 INR
9/9/2020,4585.2 INR
8/9/2020,4571.2 INR
7/9/2020,4547.1 INR
6/9/2020,4544.8 INR
5/9/2020,4544.8 INR
4/9/2020,4543.7 INR
3/9/2020,4553.6 INR
2/9/2020,4565.8 INR
1/9/2020,4621.7 INR
31-08-2020,4640.6 INR
30-08-2020,4611.1 INR
29-08-2020,4611.1 INR
28-08-2020,4614.3 INR
27-08-2020,4570.9 INR
26-08-2020,4655.5 INR
25-08-2020,4597.6 INR
24-08-2020,4585.5 INR
23-08-2020,4660.4 INR
22-08-2020,4660.4 INR
21-08-2020,4666.1 INR
20-08-2020,4700.9 INR
19-08-2020,4667.9 INR
18-08-2020,4793 INR
17-08-2020,4763.9 INR
16-08-2020,4672.6 INR
15-08-2020,4672.6 INR
14-08-2020,4668.1 INR
13-08-2020,4692.7 INR
12/8/2020,4593.8 INR
11/8/2020,4594.8 INR
10/8/2020,4869.1 INR
9/8/2020,4890.5 INR
8/8/2020,4894.1 INR
7/8/2020,4892.1 INR
6/8/2020,4966.3 INR
5/8/2020,4895.8 INR
4/8/2020,4855.5 INR
3/8/2020,4769.8 INR
2/8/2020,4748 INR
1/8/2020,4748 INR
31-07-2020,4751.7 INR
30-07-2020,4693.7 INR
29-07-2020,4727.9 INR
28-07-2020,4696.5 INR
27-07-2020,4651.8 INR
26-07-2020,4561.9 INR
25-07-2020,4561.9 INR
24-07-2020,4564.1 INR
23-07-2020,4533.9 INR
22-07-2020,4475.2 INR
21-07-2020,4403.8 INR
20-07-2020,4362.2 INR
19-07-2020,4352.3 INR
18-07-2020,4352.3 INR
17-07-2020,4355.8 INR
16-07-2020,4335.4 INR
15-07-2020,4370 INR
14-07-2020,4376.6 INR
13-07-2020,4349.9 INR
12/7/2020,4341.7 INR
11/7/2020,4341.7 INR
10/7/2020,4341.1 INR
9/7/2020,4349.2 INR
8/7/2020,4351.7 INR
7/7/2020,4320.2 INR
6/7/2020,4278.5 INR
5/7/2020,4254.4 INR
4/7/2020,4254.4 INR
3/7/2020,4255 INR
2/7/2020,4260.9 INR
1/7/2020,4293.3 INR
30-06-2020,4320 INR
29-06-2020,4294.9 INR
28-06-2020,4297.5 INR
27-06-2020,4297.5 INR
26-06-2020,4298.7 INR
25-06-2020,4275.3 INR
24-06-2020,4294.9 INR
23-06-2020,4302.3 INR
22-06-2020,4273.2 INR
21-06-2020,4263.4 INR
20-06-2020,4263.4 INR
19-06-2020,4267.7 INR
18-06-2020,4229.5 INR
17-06-2020,4232.4 INR
16-06-2020,4233.9 INR
15-06-2020,4205.3 INR
14-06-2020,4222.9 INR
13-06-2020,4222.9 INR
12/6/2020,4222.5 INR
11/6/2020,4224.5 INR
10/6/2020,4221.5 INR
9/6/2020,4156.4 INR
8/6/2020,4112 INR
7/6/2020,4086.5 INR
6/6/2020,4086.5 INR
5/6/2020,4080.3 INR
4/6/2020,4160.7 INR
3/6/2020,4106.5 INR
2/6/2020,4160.6 INR
1/6/2020,4216.3 INR
31-05-2020,4198 INR
30-05-2020,4198 INR
29-05-2020,4194.8 INR
28-05-2020,4175.8 INR
27-05-2020,4172.6 INR
26-05-2020,4153.1 INR
25-05-2020,4211.3 INR
24-05-2020,4235.4 INR
23-05-2020,4235.4 INR
22-05-2020,4233.1 INR
21-05-2020,4189.2 INR
20-05-2020,4244 INR
19-05-2020,4244.3 INR
18-05-2020,4207.7 INR
17-05-2020,4248.9 INR
16-05-2020,4248.9 INR
15-05-2020,4244.3 INR
14-05-2020,4190.8 INR
13-05-2020,4153.4 INR
12/5/2020,4113.1 INR
11/5/2020,4137.8 INR
10/5/2020,4133.3 INR
9/5/2020,4131.6 INR
8/5/2020,4134.1 INR
7/5/2020,4176.9 INR
6/5/2020,4126.2 INR
5/5/2020,4154.1 INR
4/5/2020,4138.5 INR
3/5/2020,4127.5 INR
2/5/2020,4140 INR
1/5/2020,4145.9 INR
30-04-2020,4082.6 INR
29-04-2020,4146.5 INR
28-04-2020,4175.6 INR
27-04-2020,4193.5 INR
26-04-2020,4229.4 INR
25-04-2020,4230.5 INR
24-04-2020,4237 INR
23-04-2020,4229.7 INR
22-04-2020,4211.3 INR
21-04-2020,4160.1 INR
20-04-2020,4175.3 INR
19-04-2020,4135.6 INR
18-04-2020,4135.6 INR
17-04-2020,4142.3 INR
16-04-2020,4241.4 INR
15-04-2020,4225.1 INR
14-04-2020,4208.7 INR
13-04-2020,4204.1 INR
12/4/2020,4119 INR
11/4/2020,4119 INR
10/4/2020,4118.1 INR
9/4/2020,4107.2 INR
8/4/2020,4011.8 INR
7/4/2020,4015.8 INR
6/4/2020,4063.1 INR
5/4/2020,3974 INR
4/4/2020,3974 INR
3/4/2020,3979.1 INR
2/4/2020,3951.9 INR
1/4/2020,3909 INR
31-03-2020,3818.4 INR
30-03-2020,3927.5 INR
29-03-2020,3925.1 INR
28-03-2020,3894.1 INR
27-03-2020,3895.9 INR
26-03-2020,3907.8 INR
25-03-2020,3915 INR
24-03-2020,3969.8 INR
23-03-2020,3814.2 INR
22-03-2020,3635 INR
21-03-2020,3635 INR
20-03-2020,3607.3 INR
19-03-2020,3544.1 INR
18-03-2020,3591.5 INR
17-03-2020,3633.9 INR
16-03-2020,3569.3 INR
15-03-2020,3631.3 INR
14-03-2020,3631.3 INR
13-03-2020,3601.7 INR
12/3/2020,3745.9 INR
11/3/2020,3894.9 INR
10/3/2020,3890.1 INR
9/3/2020,4004.7 INR
8/3/2020,3977.1 INR
7/3/2020,3977.1 INR
6/3/2020,4018.7 INR
5/3/2020,3962.8 INR
